title,year,rating,votes
The Birth of a Nation,1915,6.1,28042
The Cabinet of Dr. Caligari,1920,8,75418
The Kid,1921,8.2,144358
Nosferatu: A Symphony of Horror,1922,7.8,122247
Sherlock Jr.,1924,8.1,64642
Battleship Potemkin,1925,7.9,64585
The Gold Rush,1925,8.1,127105
The General,1926,8.1,105181
Metropolis,1927,8.2,199200
Sunrise,1927,8.1,56271
The Circus,1928,8.1,38202
The Passion of Joan of Arc,1928,8.1,67306
Man with a Movie Camera,1929,8.3,29948
All Quiet on the Western Front,1930,8.1,71398
City Lights,1931,8.5,214706
Dracula,1931,7.3,64118
Frankenstein,1931,7.7,86882
M,1931,8.3,181234
Freaks,1932,7.8,54217
Scarface,1932,7.7,32945
The Mummy,1932,6.9,32924
Duck Soup,1933,7.7,65043
King Kong,1933,7.9,95171
The Invisible Man,1933,7.6,43595
It Happened One Night,1934,8.1,118789
The Thin Man,1934,7.9,34776
A Night at the Opera,1935,7.8,36243
Bride of Frankenstein,1935,7.8,58173
Mutiny on the Bounty,1935,7.6,26377
The 39 Steps,1935,7.6,65441
Modern Times,1936,8.5,282959
My Man Godfrey,1936,7.9,28272
La grande illusion,1937,8.1,40776
Snow White and the Seven Dwarfs,1937,7.6,236290
Bringing Up Baby,1938,7.8,69872
The Adventures of Robin Hood,1938,7.9,57333
The Lady Vanishes,1938,7.7,60763
You Can't Take It with You,1938,7.8,30044
Gone with the Wind,1939,8.2,353563
Mr. Smith Goes to Washington,1939,8.1,128575
Stagecoach,1939,7.8,58039
The Rules of the Game,1939,7.9,33132
The Wizard of Oz,1939,8.1,462985
Fantasia,1940,7.7,110216
Foreign Correspondent,1940,7.4,25692
His Girl Friday,1940,7.8,67255
Pinocchio,1940,7.5,170739
Rebecca,1940,8.1,161504
The Grapes of Wrath,1940,8.1,107498
The Great Dictator,1940,8.4,257296
The Philadelphia Story,1940,7.8,77903
The Shop Around the Corner,1940,8,43692
Citizen Kane,1941,8.2,490263
Dumbo,1941,7.2,150150
How Green Was My Valley,1941,7.7,28690
Sullivan's Travels,1941,7.9,30421
Suspicion,1941,7.2,45943
The Lady Eve,1941,7.7,25173
The Maltese Falcon,1941,7.9,173208
The Wolf Man,1941,7.2,34084
Bambi,1942,7.3,163529
Casablanca,1942,8.5,649546
Cat People,1942,7.2,28273
Saboteur,1942,7.1,29445
The Magnificent Ambersons,1942,7.6,28473
To Be or Not to Be,1942,8.1,49079
Shadow of a Doubt,1943,7.8,74671
The Ox-Bow Incident,1943,8,26884
Arsenic and Old Lace,1944,7.9,78292
Double Indemnity,1944,8.3,179485
Gaslight,1944,7.8,37206
Laura,1944,7.9,55232
Lifeboat,1944,7.6,33255
Meet Me in St. Louis,1944,7.5,30797
To Have and Have Not,1944,7.8,40767
Brief Encounter,1945,8,47966
Mildred Pierce,1945,7.9,30905
"Rome, Open City",1945,8,33596
Spellbound,1945,7.5,56019
The Lost Weekend,1945,7.9,42858
A Matter of Life and Death,1946,8,27497
Beauty and the Beast,1946,7.9,29638
Gilda,1946,7.6,38192
Great Expectations,1946,7.8,28029
It's a Wonderful Life,1946,8.6,549492
My Darling Clementine,1946,7.7,28045
Notorious,1946,7.9,113006
The Best Years of Our Lives,1946,8.1,76706
The Big Sleep,1946,7.9,94789
The Killers,1946,7.7,25676
The Stranger,1946,7.3,30492
Black Narcissus,1947,7.7,30821
Miracle on 34th Street,1947,7.9,60709
Out of the Past,1947,7.9,43829
The Lady from Shanghai,1947,7.5,36214
Bicycle Thieves,1948,8.2,190805
Key Largo,1948,7.7,46615
Red River,1948,7.7,37402
Rope,1948,7.9,163584
The Red Shoes,1948,8.1,42812
The Treasure of the Sierra Madre,1948,8.2,140240
Kind Hearts and Coronets,1949,8,41583
The Third Man,1949,8.1,193658
White Heat,1949,8.1,38023
All About Eve,1950,8.2,147914
Cinderella,1950,7.3,185176
Harvey,1950,7.9,60569
In a Lonely Place,1950,7.9,38658
Rashomon,1950,8.1,194435
Sunset Boulevard,1950,8.4,258550
The Asphalt Jungle,1950,7.8,32426
A Christmas Carol,1951,8.1,28960
A Place in the Sun,1951,7.7,26591
A Streetcar Named Desire,1951,7.9,119235
Ace in the Hole,1951,8.1,41888
Alice in Wonderland,1951,7.3,164650
An American in Paris,1951,7.1,38958
Strangers on a Train,1951,7.9,148049
The African Queen,1951,7.7,88226
The Day the Earth Stood Still,1951,7.7,89328
The Thing from Another World,1951,7,36359
High Noon,1952,7.9,115509
Ikiru,1952,8.3,100746
Singin' in the Rain,1952,8.3,279658
The Quiet Man,1952,7.7,45324
Umberto D.,1952,8.1,30293
From Here to Eternity,1953,7.6,53764
Gentlemen Prefer Blondes,1953,7.1,46679
How to Marry a Millionaire,1953,6.8,26404
I Confess,1953,7.2,25027
Peter Pan,1953,7.3,163678
Roman Holiday,1953,8,157029
Shane,1953,7.6,47134
Stalag 17,1953,7.9,61111
The Big Heat,1953,7.9,32068
The Wages of Fear,1953,8.1,72709
The War of the Worlds,1953,7,41167
Tokyo Story,1953,8.1,76640
Ugetsu,1953,8.1,27907
"20,000 Leagues Under the Sea",1954,7.2,39985
Creature from the Black Lagoon,1954,6.9,37963
Dial M for Murder,1954,8.2,202819
Godzilla,1954,7.6,44673
La Strada,1954,8,69410
On the Waterfront,1954,8.1,176290
Rear Window,1954,8.5,563969
Sabrina,1954,7.6,75079
Seven Brides for Seven Brothers,1954,7.3,28999
Seven Samurai,1954,8.6,398063
The Caine Mutiny,1954,7.7,31898
Them!,1954,7.2,26366
White Christmas,1954,7.5,57922
Bad Day at Black Rock,1955,7.7,26163
Diabolique,1955,8.1,72722
East of Eden,1955,7.8,51397
Killer's Kiss,1955,6.5,27855
Lady and the Tramp,1955,7.3,159758
Marty,1955,7.6,29835
Pather Panchali,1955,8.2,41162
Rebel Without a Cause,1955,7.6,102497
Rififi,1955,8.1,39085
The Ladykillers,1955,7.6,33688
The Night of the Hunter,1955,8,106430
The Seven Year Itch,1955,7,45774
The Trouble with Harry,1955,7,43779
To Catch a Thief,1955,7.4,85771
A Man Escaped,1956,8.1,30285
Around the World in 80 Days,1956,6.7,31573
Forbidden Planet,1956,7.5,56660
Giant,1956,7.6,44742
Invasion of the Body Snatchers,1956,7.7,59055
The Killing,1956,7.9,104687
The King and I,1956,7.4,29279
The Man Who Knew Too Much,1956,7.4,75269
The Searchers,1956,7.8,102657
The Ten Commandments,1956,7.9,83065
The Wrong Man,1956,7.4,34253
12 Angry Men,1957,9,968232
An Affair to Remember,1957,7.4,35436
Funny Face,1957,7,35245
Nights of Cabiria,1957,8.1,56598
Paths of Glory,1957,8.4,236238
Sweet Smell of Success,1957,8,39205
The Bridge on the River Kwai,1957,8.1,246817
The Seventh Seal,1957,8.1,213944
Throne of Blood,1957,8,59546
Wild Strawberries,1957,8.1,123365
Witness for the Prosecution,1957,8.4,159519
Cat on a Hot Tin Roof,1958,7.9,56434
Elevator to the Gallows,1958,7.9,31141
Gigi,1958,6.6,25889
Horror of Dracula,1958,7.2,30822
My Uncle,1958,7.6,25815
Plan 9 from Outer Space,1958,3.9,42197
The Blob,1958,6.3,31902
The Fly,1958,7.1,27636
The Hidden Fortress,1958,8,45236
Touch of Evil,1958,7.9,114165
Vertigo,1958,8.2,455407
Anatomy of a Murder,1959,8,77009
Ben-Hur,1959,8.1,268900
Hiroshima Mon Amour,1959,7.8,38868
House on Haunted Hill,1959,6.7,34158
North by Northwest,1959,8.3,367118
Pickpocket,1959,7.5,27210
Rio Bravo,1959,8,72734
Sleeping Beauty,1959,7.2,170561
Some Like It Hot,1959,8.2,302262
The 400 Blows,1959,8,133405
Breathless,1960,7.7,93859
Eyes Without a Face,1960,7.6,38550
Inherit the Wind,1960,8.1,35082
L'Avventura,1960,7.7,36647
La Dolce Vita,1960,8,85147
Ocean's Eleven,1960,6.5,27003
Peeping Tom,1960,7.6,43262
Psycho,1960,8.5,777543
Rocco and His Brothers,1960,8.2,25404
Spartacus,1960,7.9,150820
The Apartment,1960,8.3,216278
The Magnificent Seven,1960,7.7,109354
The Time Machine,1960,7.5,47876
The Virgin Spring,1960,8,33473
Breakfast at Tiffany's,1961,7.5,202737
Judgment at Nuremberg,1961,8.3,95252
La Notte,1961,7.9,26119
Last Year at Marienbad,1961,7.6,26672
One Hundred and One Dalmatians,1961,7.3,194432
The Guns of Navarone,1961,7.5,59096
The Hustler,1961,7.9,90469
The Innocents,1961,7.7,35702
The Misfits,1961,7.2,25187
The Parent Trap,1961,7.2,26027
Through a Glass Darkly,1961,7.9,29096
Viridiana,1961,8,27828
West Side Story,1961,7.6,126764
Yojimbo,1961,8.2,141567
Cape Fear,1962,7.7,34352
Carnival of Souls,1962,7,30779
Cléo from 5 to 7,1962,7.8,30852
Dr. No,1962,7.2,191260
Harakiri,1962,8.6,88625
How the West Was Won,1962,7.1,25161
Ivan's Childhood,1962,8,42855
Jules and Jim,1962,7.6,46577
Lawrence of Arabia,1962,8.3,337826
Lolita,1962,7.5,114924
Sanjuro,1962,8,43893
The Exterminating Angel,1962,8,37743
The Longest Day,1962,7.7,62260
The Man Who Shot Liberty Valance,1962,8.1,87703
The Manchurian Candidate,1962,7.9,84128
The Trial,1962,7.6,26492
To Kill a Mockingbird,1962,8.3,349115
Vivre sa vie,1962,7.8,37306
What Ever Happened to Baby Jane?,1962,8,66870
8½,1963,8,131728
Charade,1963,7.8,92196
Cleopatra,1963,7,40587
Contempt,1963,7.4,38589
From Russia with Love,1963,7.3,155324
High and Low,1963,8.4,69667
Hud,1963,7.8,25612
It's a Mad Mad Mad Mad World,1963,7.5,50351
Jason and the Argonauts,1963,7.3,33860
The Birds,1963,7.6,217990
The Great Escape,1963,8.2,275021
The Haunting,1963,7.4,45370
The Leopard,1963,7.9,34124
The Pink Panther,1963,7,61032
The Sword in the Stone,1963,7.1,113127
Winter Light,1963,8,29073
A Fistful of Dollars,1964,7.9,250549
A Hard Day's Night,1964,7.5,50692
A Shot in the Dark,1964,7.3,33565
Band of Outsiders,1964,7.6,28626
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,547632
Fail Safe,1964,8.1,27407
Goldfinger,1964,7.7,214081
Marnie,1964,7.1,57193
Mary Poppins,1964,7.8,196971
My Fair Lady,1964,7.7,106850
Onibaba,1964,7.8,25185
The Umbrellas of Cherbourg,1964,7.8,34367
Woman in the Dunes,1964,8.4,25018
Zorba the Greek,1964,7.6,25439
Zulu,1964,7.7,45663
Alphaville,1965,7,29789
Doctor Zhivago,1965,7.9,86327
For a Few Dollars More,1965,8.2,296637
Pierrot le fou,1965,7.4,39724
Repulsion,1965,7.6,60866
The Sound of Music,1965,8.1,287621
Thunderball,1965,6.9,135037
A Man for All Seasons,1966,7.7,39697
Andrei Rublev,1966,8,59991
Batman: The Movie,1966,6.5,37681
Blow-Up,1966,7.4,71972
Django,1966,7.2,33602
El Dorado,1966,7.5,32988
Fahrenheit 451,1966,7.2,47180
How to Steal a Million,1966,7.5,31892
Manos: The Hands of Fate,1966,1.7,38378
Persona,1966,8,139114
The Battle of Algiers,1966,8.1,74421
"The Good, the Bad and the Ugly",1966,8.8,881373
Torn Curtain,1966,6.6,31445
Who's Afraid of Virginia Woolf?,1966,8,83660
Belle de Jour,1967,7.6,52802
Bonnie and Clyde,1967,7.7,127025
Casino Royale,1967,5,34512
Cool Hand Luke,1967,8,196446
Guess Who's Coming to Dinner,1967,7.8,52270
In Cold Blood,1967,7.9,31389
In the Heat of the Night,1967,7.9,89996
Le Samouraï,1967,8,64765
Playtime,1967,7.8,28870
Point Blank,1967,7.3,25730
The Dirty Dozen,1967,7.7,83335
The Fearless Vampire Killers,1967,7,35759
The Graduate,1967,8,301034
The Jungle Book,1967,7.6,211051
The Producers,1967,7.5,64127
Wait Until Dark,1967,7.7,36131
You Only Live Twice,1967,6.8,124967
2001: A Space Odyssey,1968,8.3,773577
Barbarella,1968,5.9,40288
Bullitt,1968,7.4,80832
Chitty Chitty Bang Bang,1968,7,54485
Funny Girl,1968,7.4,27059
Hang 'Em High,1968,7,47544
If....,1968,7.4,26309
Night of the Living Dead,1968,7.8,149430
Oliver!,1968,7.4,43993
Once Upon a Time in the West,1968,8.5,380788
Planet of the Apes,1968,8,208959
Romeo and Juliet,1968,7.6,36972
Rosemary's Baby,1968,8,255163
The Lion in Winter,1968,7.8,36392
The Odd Couple,1968,7.6,39608
The Party,1968,7.4,46492
The Thomas Crown Affair,1968,6.9,31255
Where Eagles Dare,1968,7.6,67116
Yellow Submarine,1968,7.4,29563
Army of Shadows,1969,8.1,28715
Battle of Britain,1969,7,26480
Butch Cassidy and the Sundance Kid,1969,8,237774
Easy Rider,1969,7.2,122579
Kes,1969,7.9,25163
Midnight Cowboy,1969,7.8,130050
On Her Majesty's Secret Service,1969,6.7,106432
Take the Money and Run,1969,7.2,32728
The Italian Job,1969,7.2,53694
The Wild Bunch,1969,7.9,94618
True Grit,1969,7.4,54454
Z,1969,8.1,33545
Beneath the Planet of the Apes,1970,6,57130
Catch-22,1970,7.1,28075
El Topo,1970,7.2,33032
Five Easy Pieces,1970,7.4,43798
Kelly's Heroes,1970,7.6,57768
Le cercle rouge,1970,7.9,31275
Little Big Man,1970,7.5,39972
Love Story,1970,6.9,39803
M*A*S*H,1970,7.3,81791
Patton,1970,7.9,113490
The Aristocats,1970,7.1,123448
The Bird with the Crystal Plumage,1970,7.1,26742
The Conformist,1970,7.9,38406
They Call Me Trinity,1970,7.4,27642
Tora! Tora! Tora!,1970,7.5,39471
Two Mules for Sister Sara,1970,7,33381
A Clockwork Orange,1971,8.2,928938
Anand,1971,8.1,37197
Bananas,1971,6.9,39799
Bedknobs and Broomsticks,1971,7.1,42990
Diamonds Are Forever,1971,6.5,121037
Dirty Harry,1971,7.7,179116
"Duck, You Sucker!",1971,7.5,40785
Escape from the Planet of the Apes,1971,6.3,44174
Fiddler on the Roof,1971,8,51509
Get Carter,1971,7.3,39391
Harold and Maude,1971,7.8,85347
Klute,1971,7.1,33119
McCabe & Mrs. Miller,1971,7.6,30023
Monty Python's and Now for Something Completely Different,1971,7.5,32509
Play Misty for Me,1971,6.9,34514
Straw Dogs,1971,7.4,67738
The Andromeda Strain,1971,7.2,43370
The Big Boss,1971,6.9,31471
The French Connection,1971,7.7,148839
The Last Picture Show,1971,8,56357
The Omega Man,1971,6.4,35834
THX 1138,1971,6.6,57044
Vanishing Point,1971,7.2,32198
Walkabout,1971,7.6,29310
Willy Wonka & the Chocolate Factory,1971,7.8,242661
"Aguirre, the Wrath of God",1972,7.8,67027
Cabaret,1972,7.8,63832
Conquest of the Planet of the Apes,1972,6.1,40104
Cries & Whispers,1972,7.9,39354
Deliverance,1972,7.6,127407
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,6.7,43671
Fist of Fury,1972,7.2,36803
Frenzy,1972,7.4,52895
Jeremiah Johnson,1972,7.6,38941
Last Tango in Paris,1972,6.8,62082
Pink Flamingos,1972,6,30476
"Play It Again, Sam",1972,7.6,29445
Silent Running,1972,6.6,33312
Sleuth,1972,7.9,52364
Solaris,1972,7.9,104106
The Discreet Charm of the Bourgeoisie,1972,7.7,50041
The Getaway,1972,7.3,38119
The Godfather,1972,9.2,2194237
The Last House on the Left,1972,5.8,43119
The Poseidon Adventure,1972,7.1,53293
The Way of the Dragon,1972,7.1,44127
"What's Up, Doc?",1972,7.6,29887
Amarcord,1973,7.8,50997
American Graffiti,1973,7.4,104612
Badlands,1973,7.7,83395
Battle for the Planet of the Apes,1973,5.4,37489
Day for Night,1973,8,26113
Don't Look Now,1973,7.1,67836
Enter the Dragon,1973,7.6,119127
Fantastic Planet,1973,7.6,41469
High Plains Drifter,1973,7.4,72191
Jesus Christ Superstar,1973,7.4,32101
Live and Let Die,1973,6.7,122546
Magnum Force,1973,7.2,71044
Mean Streets,1973,7.2,126786
My Name Is Nobody,1973,7.3,31771
Paper Moon,1973,8.1,56710
Papillon,1973,8,144807
Robin Hood,1973,7.5,148349
Serpico,1973,7.7,144850
Sleeper,1973,7.1,46365
Soylent Green,1973,7,74567
The Day of the Jackal,1973,7.8,52144
The Exorcist,1973,8.1,493026
The Holy Mountain,1973,7.7,51756
The Last Detail,1973,7.5,30736
The Long Goodbye,1973,7.5,42868
The Sting,1973,8.2,297469
The Way We Were,1973,7,30379
The Wicker Man,1973,7.5,104023
Westworld,1973,6.9,66394
A Woman Under the Influence,1974,8,32630
Ali: Fear Eats the Soul,1974,8,25695
Alice Doesn't Live Here Anymore,1974,7.3,29545
Black Christmas,1974,7.1,55640
Blazing Saddles,1974,7.7,162497
Chinatown,1974,8.1,373523
Dark Star,1974,6.1,29868
Death Wish,1974,6.9,47500
Murder on the Orient Express,1974,7.2,73794
Phantom of the Paradise,1974,7.3,25498
The Conversation,1974,7.7,135033
The Godfather Part II,1974,9,1475127
The Great Gatsby,1974,6.4,28624
The Man with the Golden Gun,1974,6.7,119751
The Taking of Pelham One Two Three,1974,7.6,40360
The Texas Chain Saw Massacre,1974,7.4,208811
The Towering Inferno,1974,7,51914
Thunderbolt and Lightfoot,1974,7,32360
Young Frankenstein,1974,8,179546
Zardoz,1974,5.8,26644
Barry Lyndon,1975,8.1,201097
Death Race 2000,1975,6.2,33533
Deep Red,1975,7.5,46794
Dersu Uzala,1975,8.2,35977
Dog Day Afternoon,1975,8,288943
Jaws,1975,8.1,727548
Love and Death,1975,7.6,43515
Mirror,1975,7.9,56781
Monty Python and the Holy Grail,1975,8.2,598787
Nashville,1975,7.6,31060
One Flew Over the Cuckoo's Nest,1975,8.6,1146260
Picnic at Hanging Rock,1975,7.4,44946
Rollerball,1975,6.5,31905
"Salò, or the 120 Days of Sodom",1975,5.8,71565
Shivers,1975,6.3,25806
Sholay,1975,8.1,62472
The Chaos Class,1975,9.2,45610
The Chaos Class Failed the Class,1975,8.5,29481
The Man Who Would Be King,1975,7.7,54947
The Passenger,1975,7.4,28390
The Return of the Pink Panther,1975,7,32046
The Rocky Horror Picture Show,1975,7.4,181673
Three Days of the Condor,1975,7.4,69259
1900,1976,7.6,28806
All the President's Men,1976,7.9,136195
Assault on Precinct 13,1976,7.3,60157
Carrie,1976,7.4,225418
Family Plot,1976,6.8,26646
King Kong,1976,6,37933
Logan's Run,1976,6.8,64892
Marathon Man,1976,7.4,74708
Murder by Death,1976,7.2,45048
Network,1976,8.1,183895
Rocky,1976,8.1,679775
Taxi Driver,1976,8.2,1011299
The Bad News Bears,1976,7.3,27021
The Eagle Has Landed,1976,6.9,26860
The Enforcer,1976,6.7,52513
The Man Who Fell to Earth,1976,6.6,30770
The Message,1976,8.1,53448
The Omen,1976,7.5,144908
The Outlaw Josey Wales,1976,7.8,85651
The Pink Panther Strikes Again,1976,7.1,34133
The Shootist,1976,7.6,28956
The Tenant,1976,7.5,50823
Tosun Pasha,1976,8.9,26113
A Bridge Too Far,1977,7.4,66738
Annie Hall,1977,7.9,289623
Close Encounters of the Third Kind,1977,7.6,230719
Cross of Iron,1977,7.4,31232
Eraserhead,1977,7.2,141494
Exorcist II: The Heretic,1977,3.8,30503
High Anxiety,1977,6.6,25251
House,1977,7.2,38715
Pete's Dragon,1977,6.3,27874
Pumping Iron,1977,7.3,26457
Saturday Night Fever,1977,6.8,93558
Slap Shot,1977,7.2,44451
Smokey and the Bandit,1977,7,61745
Sorcerer,1977,7.7,34504
Star Wars: Episode IV - A New Hope,1977,8.6,1551914
Suspiria,1977,7.3,115059
That Obscure Object of Desire,1977,7.8,26708
The Duellists,1977,7.4,29257
The Gauntlet,1977,6.4,27073
The Hills Have Eyes,1977,6.3,42287
The Many Adventures of Winnie the Pooh,1977,7.5,42322
The Rescuers,1977,6.9,74439
The Spy Who Loved Me,1977,7,123177
Autumn Sonata,1978,8.1,41552
Capricorn One,1978,6.8,26861
Damien: Omen II,1978,6.2,39750
Dawn of the Dead,1978,7.8,135479
Days of Heaven,1978,7.7,67861
Death on the Nile,1978,7.3,43740
Drunken Master,1978,7.4,47087
Every Which Way But Loose,1978,6.3,32095
Grease,1978,7.2,322593
Halloween,1978,7.7,335402
Heaven Can Wait,1978,6.9,25362
I Spit on Your Grave,1978,5.7,33807
Invasion of the Body Snatchers,1978,7.4,80119
Jaws 2,1978,5.8,91693
Midnight Express,1978,7.5,93320
National Lampoon's Animal House,1978,7.4,135241
Piranha,1978,5.9,27603
Superman,1978,7.4,205859
The Boys from Brazil,1978,7,33319
The Deer Hunter,1978,8.1,383501
The Lord of the Rings,1978,6.2,38863
Up in Smoke,1978,6.9,43121
Watership Down,1978,7.5,42761
1941,1979,5.8,38572
Alien,1979,8.5,1050901
All That Jazz,1979,7.8,39627
And Justice for All,1979,7.4,44451
Apocalypse Now,1979,8.4,762413
Being There,1979,7.9,82153
Breaking Away,1979,7.7,27225
Caligula,1979,5.3,41238
Escape from Alcatraz,1979,7.5,161681
Hair,1979,7.5,43753
Kramer vs. Kramer,1979,7.8,164425
Lupin III: The Castle of Cagliostro,1979,7.6,35569
Mad Max,1979,6.8,242779
Manhattan,1979,7.8,153255
Meatballs,1979,6.2,25803
Monty Python's Life of Brian,1979,8,433016
Moonraker,1979,6.3,115616
Nosferatu the Vampyre,1979,7.4,48710
Phantasm,1979,6.6,44292
Rocky II,1979,7.3,246690
Stalker,1979,8,155020
Star Trek: The Motion Picture,1979,6.4,101460
The Amityville Horror,1979,6.2,48612
The Black Hole,1979,5.9,29977
The Brood,1979,6.8,37589
The China Syndrome,1979,7.4,35423
The Jerk,1979,7.1,68005
The Muppet Movie,1979,7.6,42047
The Tin Drum,1979,7.4,27531
The Warriors,1979,7.5,118127
Zombie,1979,6.8,32958
9 to 5,1980,6.9,42655
Airplane!,1980,7.7,283266
Altered States,1980,6.9,41853
American Gigolo,1980,6.3,31875
Caddyshack,1980,7.2,133432
Cannibal Holocaust,1980,5.8,66107
Cruising,1980,6.5,31477
Dressed to Kill,1980,7,55388
Fame,1980,6.6,26047
Flash Gordon,1980,6.5,65471
Friday the 13th,1980,6.4,173085
Inferno,1980,6.5,26013
Kagemusha: The Shadow Warrior,1980,7.9,40539
Ordinary People,1980,7.7,61161
Popeye,1980,5.4,37212
Private Benjamin,1980,6.2,30507
Raging Bull,1980,8.1,405735
Somewhere in Time,1980,7.2,35826
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1486276
Stardust Memories,1980,7.2,25006
Stir Crazy,1980,6.7,32290
Superman II,1980,6.8,123645
The Blue Lagoon,1980,5.8,82363
The Blues Brothers,1980,7.9,227248
The Changeling,1980,7.1,43988
The Elephant Man,1980,8.2,279345
The Final Countdown,1980,6.7,29450
The Fog,1980,6.8,90641
The Gods Must Be Crazy,1980,7.3,62518
The Long Good Friday,1980,7.5,29018
The Shining,1980,8.4,1208985
An American Werewolf in London,1981,7.5,132772
Arthur,1981,6.9,33146
Blow Out,1981,7.4,74183
Body Heat,1981,7.4,43357
Chariots of Fire,1981,7.1,70314
Christiane F.,1981,7.5,34056
Clash of the Titans,1981,6.9,50778
Das Boot,1981,8.4,285543
Escape from New York,1981,7.1,170467
Excalibur,1981,7.3,71994
For Your Eyes Only,1981,6.7,114553
Friday the 13th Part 2,1981,6.1,86052
Gallipoli,1981,7.4,44098
Halloween II,1981,6.5,111024
Heavy Metal,1981,6.6,41116
History of the World: Part I,1981,6.8,58165
My Bloody Valentine,1981,6.3,27481
My Dinner with Andre,1981,7.7,29807
On Golden Pond,1981,7.6,37281
Outland,1981,6.6,34789
Porky's,1981,6.2,48482
Possession,1981,7.2,54871
Quest for Fire,1981,7.3,26076
Raiders of the Lost Ark,1981,8.4,1100602
Reds,1981,7.3,26440
Scanners,1981,6.7,66877
Stripes,1981,6.8,84985
The Beyond,1981,6.6,27553
The Cannonball Run,1981,6.2,43206
The Evil Dead,1981,7.3,248723
The Final Conflict,1981,5.5,25443
The Fox and the Hound,1981,7.2,109022
The Howling,1981,6.5,44053
The Postman Always Rings Twice,1981,6.6,27423
The Road Warrior,1981,7.6,211417
Thief,1981,7.4,47577
Time Bandits,1981,6.9,73457
Victory,1981,6.7,35321
48 Hrs.,1982,6.9,92075
Airplane II: The Sequel,1982,6.2,60378
An Officer and a Gentleman,1982,7.1,66674
Annie,1982,6.6,52970
Blade Runner,1982,8.1,873059
Cat People,1982,6.2,26192
Conan the Barbarian,1982,6.9,172148
Creepshow,1982,6.8,57129
Dead Men Don't Wear Plaid,1982,6.8,25552
E.T. the Extra-Terrestrial,1982,7.9,466901
Fanny and Alexander,1982,8.1,70848
Fast Times at Ridgemont High,1982,7.1,123706
Firefox,1982,5.9,31120
First Blood,1982,7.7,297401
Fitzcarraldo,1982,7.9,42256
Friday the 13th: Part 3,1982,5.6,66789
Gandhi,1982,8,246275
Grease 2,1982,4.6,40911
Halloween III: Season of the Witch,1982,5.2,67125
Koyaanisqatsi,1982,8.2,44201
Missing,1982,7.7,25313
Pink Floyd: The Wall,1982,8,89141
Poltergeist,1982,7.3,193123
Rocky III,1982,6.9,225575
Sophie's Choice,1982,7.5,56360
Star Trek II: The Wrath of Khan,1982,7.7,134705
Tenebrae,1982,7,30490
The Beastmaster,1982,6.2,26992
The Dark Crystal,1982,7.1,76304
The King of Comedy,1982,7.8,130273
The Last Unicorn,1982,7.3,32558
The Secret of NIMH,1982,7.5,49261
The Thing,1982,8.2,518102
The Verdict,1982,7.7,49924
The World According to Garp,1982,7.1,30692
Tootsie,1982,7.4,121094
Tron,1982,6.7,143840
Victor/Victoria,1982,7.6,25394
A Christmas Story,1983,7.9,180111
Blue Thunder,1983,6.4,25091
Christine,1983,6.8,101229
Cujo,1983,6.1,55088
Flashdance,1983,6.2,63367
Jaws 3-D,1983,3.7,52328
Krull,1983,6.1,38856
Local Hero,1983,7.3,29194
Monty Python's the Meaning of Life,1983,7.5,129236
Mr. Mom,1983,6.6,30658
National Lampoon's Vacation,1983,7.3,127304
Never Say Never Again,1983,6.1,76761
Nostalghia,1983,7.9,32696
Octopussy,1983,6.5,119270
Psycho II,1983,6.6,34511
Risky Business,1983,6.8,107110
Rumble Fish,1983,7.1,40694
Scarface,1983,8.3,1000302
Sleepaway Camp,1983,6.2,43159
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1195156
Sudden Impact,1983,6.6,51871
Superman III,1983,5,80675
Terms of Endearment,1983,7.4,69726
The Big Chill,1983,7.1,45017
The Dead Zone,1983,7.2,83600
The Hunger,1983,6.6,31525
The Man with Two Brains,1983,6.4,29191
The Outsiders,1983,7,107995
The Right Stuff,1983,7.8,68513
Trading Places,1983,7.5,180486
Twilight Zone: The Movie,1983,6.5,44122
Videodrome,1983,7.2,111586
WarGames,1983,7.1,120125
Zelig,1983,7.6,45744
1984,1984,7,86799
2010: The Year We Make Contact,1984,6.7,60585
A Nightmare on Elm Street,1984,7.4,287735
Amadeus,1984,8.4,463198
Bachelor Party,1984,6.3,44550
Beverly Hills Cop,1984,7.4,229742
Birdy,1984,7.2,26412
Blood Simple,1984,7.5,112608
Body Double,1984,6.8,44192
Broadway Danny Rose,1984,7.4,28026
Children of the Corn,1984,5.6,62101
Conan the Destroyer,1984,5.9,89669
Dune,1984,6.2,191262
Firestarter,1984,6.1,39363
Footloose,1984,6.6,100680
Friday the 13th: The Final Chapter,1984,6,65462
Ghostbusters,1984,7.8,482157
Gremlins,1984,7.3,271647
Indiana Jones and the Temple of Doom,1984,7.5,563080
Nausicaä of the Valley of the Wind,1984,8,195022
Night of the Comet,1984,6.3,26582
Once Upon a Time in America,1984,8.3,404802
"Paris, Texas",1984,8.1,137833
Police Academy,1984,6.7,147508
Purple Rain,1984,6.5,26048
Red Dawn,1984,6.3,67977
Repo Man,1984,6.8,44798
Revenge of the Nerds,1984,6.6,61481
Romancing the Stone,1984,6.9,110875
Sixteen Candles,1984,7,134283
Splash,1984,6.3,88152
